id,unit_id,type,role,related_main_id,prompt,options,correct_index,image,audio,explanation
1,1,true_false,preview,2,کلاهبرداری‌ها بیشتر به فریب احساسی متکی‌اند، نه فنی.,,true,,,بیشتر کلاهبرداری‌ها با فوریت و اعتماد جواب می‌دهند، نه هک فنی.
2,1,multiple_choice,main,,کلاهبرداران بیشتر روی چه چیزی حساب می‌کنند؟,احساسات شما|نرم‌افزار شما|سخت‌افزار شما,0,,,کلاهبرداران ترس و عجله را هدف می‌گیرند، چون احساسات جلوی فکر منطقی را می‌گیرد.
3,1,multiple_choice,exercise,2,«حساب شما همین حالا مسدود می‌شود!»,کلاهبرداری|واقعی,0,,,وحشت ساختگی، رایج‌ترین محرک احساسی است — مشکل واقعی حساب این‌طور اطلاع داده نمی‌شود.
4,1,multiple_choice,exercise,2,«شما خوش‌شانس بودید، جایزه بزرگ بردید!»,کلاهبرداری|واقعی,0,,,هیجان بی‌دلیل طعمه است — قبل از فکر کردن، احساس را قلاب می‌کند.
5,1,multiple_choice,exercise,2,چرا لحن هول‌کننده روی آدم باهوش هم جواب می‌دهد؟,احساس غالب|بی‌احتیاطی می‌کنند|بدشانسی,0,,,وحشت، فکر سریع را کنار می‌زند؛ ربطی به هوش ندارد.
6,2,true_false,preview,7,فشار برای اقدام فوری یک علامت هشدار است.,,true,,,سازمان‌های واقعی به‌ندرت اقدام فوری می‌خواهند؛ کلاهبرداران همیشه عجله دارند.
7,2,multiple_choice,main,,مهم‌ترین علامت هشدار کلاهبرداری چیست؟,فشار فوری|یک تماس|یک پیامک,0,,,فوریت ساختگی — «الان اقدام کن وگرنه همه‌چیز را از دست می‌دهی» — رایج‌ترین ترفند است.
8,2,multiple_choice,exercise,7,«ظرف ۱۰ دقیقه پاسخ بده وگرنه لغو می‌شود.»,کلاهبرداری|واقعی,0,,,مهلت فشرده و تهدید بزرگ، همان فوریت ساختگی کلاسیک است.
9,2,multiple_choice,exercise,7,«عجله نیست، هر وقت وقت داشتید پاسخ دهید.»,واقعی|کلاهبرداری,0,,,نبود فشار برای اقدام فوری، شکل واقعی یک درخواست صبورانه است.
10,2,multiple_choice,exercise,7,چرا مهلت جعلی روی قربانی جواب می‌دهد؟,وقت نمی‌ماند|بی‌ادبی است|زمان‌بندی بد,0,,,مهلت فشرده، همان مکثی را می‌گیرد که باید صرف بررسی یا مشورت شود.
11,3,true_false,preview,12,تماس‌گیرنده‌ای که ادعای پلیس بودن دارد می‌تواند دروغ بگوید.,,true,,,هرکسی می‌تواند پشت تلفن هر عنوانی را ادعا کند؛ این هیچ‌چیز را ثابت نمی‌کند.
12,3,multiple_choice,main,,چرا جعل هویت مقام‌ها جواب می‌دهد؟,اعتماد مقام|صدای بلند|حرف تند,0,,,ما آموزش دیده‌ایم از مقام‌ها اطاعت کنیم، پس جعل آن هوشیاری را کم می‌کند.
13,3,multiple_choice,exercise,12,«من افسر پلیس فتا هستم، جریمه را بپردازید.»,کلاهبرداری|واقعی,0,,,پلیس واقعی جریمه را پشت تلفن نمی‌گیرد؛ یک عنوان به‌تنهایی چیزی ثابت نمی‌کند.
14,3,multiple_choice,exercise,12,«از پشتیبانی بانک هستم، نفوذ دیدیم.» بدون تماس قبلی.,کلاهبرداری|واقعی,0,,,تماس ناخواسته با ادعای مقام، بدون راه تایید، همان الگوی جعل هویت است.
15,3,multiple_choice,exercise,12,چرا عنوان جعلی هوشیاری را کم می‌کند؟,اطاعت مقام|چاپلوسانه است|خنده‌دار است,0,,,اطاعت از مقام یک واکنش خودکار عمیق است — دقیقا همین قرض گرفته می‌شود.
16,4,true_false,preview,17,برنده شدن مسابقه‌ای که شرکت نکرده‌اید یک هشدار است.,,true,,,شما نمی‌توانید چیزی را که شرکت نکرده‌اید ببرید؛ این نشانه کلاهبرداری جایزه است.
17,4,multiple_choice,main,,پیامی سود تضمینی و بزرگ وعده می‌دهد.,احتمالا کلاهبرداری|فرصت امن|پول مجانی,0,,,هیچ سرمایه‌گذاری واقعی سود بزرگ و بدون‌ریسک تضمین نمی‌کند؛ خودِ این وعده کلاهبرداری است.
