id,title,description,min_level,section,image,section_image
1,چرا کلاهبرداری‌ها جواب می‌دهند,ترفند روانشناختی مشترک همه کلاهبرداری‌ها، پیش از آشنایی با هر نوع کلاهبرداری.,1,بنیادها,unit1.png,
2,فوریت و ترس,رایج‌ترین علامت هشدار در همه کلاهبرداری‌ها: فشار برای تصمیم فوری.,1,بنیادها,unit2.png,
3,جعل هویت مقام‌های رسمی,چرا صدای رسمی یا نام یک بانک باعث می‌شود هوشیاری‌تان را از دست بدهید.,1,بنیادها,unit3.png,
4,خیلی خوب که واقعی نیست,چرا جایزه و سود باورنکردنی، طعمه است نه پاداش.,1,بنیادها,unit4.png,
5,تاکتیک انزوا,چرا کلاهبردار می‌خواهد شما تنها و بی‌مشورت تصمیم بگیرید.,1,بنیادها,unit5.png,
6,پیامک‌های جعلی ثنا و یارانه,رایج‌ترین شگرد پیامکی امروز ایران: جعل عنوان ثنا، یارانه و کالابرگ.,1,پیامک و بانک,unit6.png,
7,کلاهبرداری کارت‌به‌کارت,فیش واریز جعلی و درخواست شماره کارت — رایج‌ترین کلاهبرداری خرید آنلاین ایران.,1,پیامک و بانک,unit7.png,
8,آنچه بانک واقعی هرگز نمی‌خواهد,رمز پویا، CVV2 و کد فعال‌سازی — چیزهایی که بانک هرگز پشت تلفن نمی‌پرسد.,1,پیامک و بانک,unit8.png,
9,تماس جعلی برنده جایزه,تماس «به‌خاطر خوش‌حسابی برنده شدید» — ترفندی برای گرفتن اطلاعات بانکی.,1,پیامک و بانک,unit9.png,
10,کلاهبرداری واریز اشتباهی,پیامک جعلی «واریز اشتباهی» که از شما می‌خواهد پول را «برگردانید».,1,پیامک و بانک,unit10.png,
11,کلاهبرداری با کد فعال‌سازی,ترفندی که با گرفتن کد پیامکی، حساب پیام‌رسان شما را می‌رباید.,1,پیام‌رسان و حساب,unit11.png,
12,هک حساب و جعل هویت دوستان,حساب هک‌شده‌ای که به دوستان واقعی شما پیام می‌دهد و پول می‌خواهد.,1,پیام‌رسان و حساب,unit12.png,
13,کلاهبرداری سرمایه‌گذاری تلگرامی,گروه‌های تلگرامی که سود تضمینی و هفتگی وعده می‌دهند.,1,تلگرام و ارز دیجیتال,unit13.png,
14,طرح‌های هرمی و بازدهی غیرواقعی,چگونه سود اولیه فقط از پول اعضای تازه‌وارد پرداخت می‌شود.,1,تلگرام و ارز دیجیتال,unit14.png,
15,کلاهبرداری‌های ارز دیجیتال,پامپ و دامپ — تبلیغ هماهنگ یک ارز کم‌ارزش برای فروش در اوج قیمت.,1,تلگرام و ارز دیجیتال,unit15.png,
16,کلون صدا با هوش مصنوعی,چگونه چند ثانیه صدای عمومی می‌تواند تماس اضطراری یک آشنا را جعل کند.,1,صدای مصنوعی,unit16.png,
17,رمز خانوادگی برای تایید هویت,یک عبارت مخفیِ از پیش‌توافق‌شده — تنها چیزی که کلون هوش مصنوعی نمی‌تواند حدس بزند.,1,صدای مصنوعی,unit17.png,
18,جعل شماره تماس,چرا شماره‌ی روی صفحه گوشی هم می‌تواند مثل صدا دروغ بگوید.,1,صدای مصنوعی,unit18.png,
19,کلاهبرداری‌های شغلی و مهاجرتی,آگهی شغل یا ویزای مهاجرتی با حقوق بالا و شرح کار مبهم.,1,اجتماعی,unit19.png,
20,کلاهبرداری‌های عاطفی آنلاین,آشنایی آنلاینی که سریع رابطه می‌سازد و بعد پول می‌خواهد.,1,اجتماعی,unit20.png,
21,جعل هویت در شبکه‌های اجتماعی,پروفایل کلون‌شده‌ای که عکس و نام یک دوست واقعی را می‌دزدد.,1,اجتماعی,unit21.png,
22,اگر کلاهبرداری شدید چه کار کنید,اولین اقدام‌های فوری که جلوی ادامه ضرر را می‌گیرند.,1,اقدام عملی,unit22.png,
23,کجا گزارش دهید,گزارش به پلیس فتا و مراجع قانونی، تا کلاهبردار برای بعدی متوقف شود.,1,اقدام عملی,unit23.png,
